menu,amount,kcal
กระเพาะปลา,1 ชาม,150
กระเพาะปลาตุ๋นน้ำแดง,1 ชาม,225
ก๋วยจั๊บ,1 ชาม,240
ก๋วยจั๊บญวณ,1 ชาม,235
ก๋วยเตี๋ยวแขก,1 ชาม,380
ก๋วยเตี๋ยวคั่วไก่,1 จาน,435
ก๋วยเตี๋ยวต้มยำกุ้ง,1 ถ้วย,320
ก๋วยเตี๋ยวเนื้อเรียง,1 ถ้วย,370
ก๋วยเตี๋ยวเนื้อสับ,1 จาน,370
ก๋วยเตี๋ยวผัดกะเพราไก่,1 จาน,440
ก๋วยเตี๋ยวผัดไทยใส่ไข่,1 จาน,577
ก๋วยเตี๋ยวราดหน้าปลากระพง,1 จาน,435
ก๋วยเตี๋ยวเรือน้ำตก,1 ชาม,180
ก๋วยเตี๋ยวเรือน้ำตกแห้ง,1 ชาม,225
ก๋วยเตี๋ยวเส้นปลาน้ำ,1 ชาม,375
ก๋วยเตี๋ยวเส้นปลาแห้ง,1 ชาม,420
ก๋วยเตี๋ยวเส้นเล็กต้มยำหมู,1 ชาม,335
ก๋วยเตี๋ยวเส้นเล็กหมูแห้ง,1 ชาม,330
ก๋วยเตี๋ยวเส้นหมี่น้ำลูกชิ้นเนื้อวัว,1 จาน,226
ก๋วยเตี๋ยวเส้นหมี่ลูกชิ้นเนื้อ,1 ชาม,258
ก๋วยเตี๋ยวเส้นใหญ่ผัดซีอิ๊วใส่ไข่,1 จาน,520
ก๋วยเตี๋ยวเส้นใหญ่ราดหน้าไก่,1 จาน,397
ก๋วยเตี๋ยวเส้นใหญ่ราดหน้าหมู,1 จาน,397
ก๋วยเตี๋ยวหลอด,1 ชิ้น,50
กุ้งแช่น้ำปลา,1 ตัว,14
กุ้งทอดกระเทียมพริกไทย,1 ตัวกลาง,86
กุ้งนางนึ่งนมสด,1 ถ้วย,185
กุ้งนึ่งกระเทียม,1 จาน,124
กุ้งผัดพริกอ่อน,1 จาน,235
กุ้งฝอยชุบแป้งทอด,1 แพ,308
กุ้งอบวุ้นเส้น,1 จาน,300
กุนเชียงทอด,1 ชิ้นเล็ก,120
กุ้ยช่ายทอด,1 ชิ้น,114
เกาเหลาราดหน้า,1 ถ้วย,300
เกาเหลาลูกชิ้นน้ำ,1 ชาม,225
เกี๊ยวกรอบราดหน้ากุ้ง,1 จาน,635
เกี๊ยวซ่า,1 ชิ้น,63
เกี๊ยวน้ำกุ้ง,1 ชาม,275
เกี๊ยวปลาน้ำ,1 ถ้วย,165
แกงกะหรี่ไก่,1 ถ้วย,450
แกงกะหรี่หมู,1 ถ้วย,325
แกงขี้เหล็ก,1 ถ้วย,195
แกงขี้เหล็กหมูย่าง,1 ถ้วย,245
แกงเขียวหวานไก่,1 ถ้วย,240
แกงเขียวหวานปลาดุก,1 ถ้วย,235
แกงเขียวหวานลูกชิ้นปลากราย,1 ถ้วย,240
แกงเขียวหวานหมู,1 ถ้วย,235
แกงจืดไข่เจียว,1 ถ้วย,120
แกงจืดตำลึงหมูสับ,1 ถ้วย,90
แกงจืดเต้าหู้ไม่ใส่หมูสับ,1 ถ้วย,80
แกงจืดเต้าหู้ยัดไส้,1 ถ้วย,110
แกงจืดถั่วงอกไม่ใส่หมูสับ,1 ถ้วย,50
แกงจืดถั่วงอกหมูสับ,1 ถ้วย,50
แกงจืดฟักยัดไส้,1 ถ้วย,90
แกงจืดมะระยัดไส้,1 ถ้วย,90
แกงจืดมะระสอดไส้หมูวุ้นเส้น,1 ชิ้น,66
แกงจืดวุ้นเส้น,1 ถ้วย,85
แกงไตปลา,1 ถ้วย,50
แกงป่าไก่,1 ถ้วย,110
แกงเผ็ดไก่ใส่มะเขือ,1 ถ้วย,235
แกงเผ็ดไก่ใส่หน่อไม้,1 ถ้วย,245
แกงเผ็ดเป็ดย่าง,1 ถ้วย,240
แกงเผ็ดฟักทองใส่หมู,1 ถ้วย,250
แกงเผ็ดฟักทองหมู,1 ถ้วย,250
แกงเผ็ดมะเขือไก่,1 ถ้วย,235
แกงเผ็ดลูกชิ้นปลา,1 ถ้วย,240
